94658	1	61	208365	NULL	NULL	NULL	100.00
94659	1	60	246839	NULL	NULL	NULL	0.00
94660	2	61	210794	NULL	NULL	NULL	100.00
94661	2	60	246840	NULL	NULL	NULL	0.00
94662	3	61	211375	NULL	NULL	NULL	100.00
94663	3	60	246841	NULL	NULL	NULL	0.00
94664	4	61	210747	NULL	NULL	NULL	100.00
94665	4	60	246842	NULL	NULL	NULL	0.00
94666	5	61	210739	NULL	NULL	NULL	100.00
94667	5	60	246843	NULL	NULL	NULL	0.00
94668	6	61	210793	NULL	NULL	NULL	100.00
94669	6	60	246844	NULL	NULL	NULL	0.00
94670	7	61	210783	NULL	NULL	NULL	100.00
94671	7	60	246845	NULL	NULL	NULL	0.00
94672	8	61	204370	NULL	NULL	NULL	100.00
94673	8	60	246846	NULL	NULL	NULL	0.00
94674	9	61	210723	NULL	NULL	NULL	100.00
94675	9	60	246847	NULL	NULL	NULL	0.00
94676	10	61	210779	NULL	NULL	NULL	100.00
94677	10	60	246848	NULL	NULL	NULL	0.00
94678	11	61	210776	NULL	NULL	NULL	100.00
94679	11	60	246849	NULL	NULL	NULL	0.00
94680	12	61	212139	NULL	NULL	NULL	100.00
94681	12	60	246850	NULL	NULL	NULL	0.00
94682	13	61	204371	NULL	NULL	NULL	100.00
94683	13	60	246851	NULL	NULL	NULL	0.00
94684	14	61	43374	NULL	NULL	NULL	100.00
94685	14	60	150632	NULL	NULL	NULL	0.00
94686	15	61	204372	NULL	NULL	NULL	100.00
94687	15	60	246852	NULL	NULL	NULL	0.00
94688	16	61	210780	NULL	NULL	NULL	100.00
94689	16	60	246853	NULL	NULL	NULL	0.00
94690	17	61	211657	NULL	NULL	NULL	100.00
94691	17	60	246854	NULL	NULL	NULL	0.00
94692	18	61	210759	NULL	NULL	NULL	100.00
94693	18	60	246855	NULL	NULL	NULL	0.00
94694	19	61	19283	NULL	NULL	NULL	100.00
94695	19	60	39940	NULL	NULL	NULL	0.00
94696	20	61	211100	NULL	NULL	NULL	100.00
94697	20	60	246856	NULL	NULL	NULL	0.00
94698	21	61	204373	NULL	NULL	NULL	100.00
94699	21	60	246857	NULL	NULL	NULL	0.00
94700	22	60	111926	NULL	NULL	NULL	0.00
94701	22	61	204374	NULL	NULL	NULL	100.00
94702	23	61	210784	NULL	NULL	NULL	100.00
94703	23	60	246858	NULL	NULL	NULL	0.00
94704	24	61	210731	NULL	NULL	NULL	100.00
94705	24	60	246859	NULL	NULL	NULL	0.00
94706	25	61	210756	NULL	NULL	NULL	100.00
94707	25	60	246860	NULL	NULL	NULL	0.00
94708	26	61	38820	NULL	NULL	NULL	100.00
94709	26	60	38820	NULL	NULL	NULL	0.00
94710	27	61	204375	NULL	NULL	NULL	100.00
94711	27	60	246861	NULL	NULL	NULL	0.00
94712	28	61	210762	NULL	NULL	NULL	100.00
94713	28	60	246862	NULL	NULL	NULL	0.00
94714	29	61	210777	NULL	NULL	NULL	100.00
94715	29	60	246863	NULL	NULL	NULL	0.00
94716	30	61	211365	NULL	NULL	NULL	100.00
94717	30	60	246864	NULL	NULL	NULL	0.00
94718	31	61	210789	NULL	NULL	NULL	100.00
94719	31	60	246865	NULL	NULL	NULL	0.00
94720	32	61	204376	NULL	NULL	NULL	100.00
94721	32	60	246866	NULL	NULL	NULL	0.00
94722	33	61	210782	NULL	NULL	NULL	100.00
94723	33	60	246867	NULL	NULL	NULL	0.00
94724	34	61	211312	NULL	NULL	NULL	100.00
94725	34	60	246868	NULL	NULL	NULL	0.00
94726	35	61	211585	NULL	NULL	NULL	100.00
94727	35	60	246869	NULL	NULL	NULL	0.00
94728	36	61	210740	NULL	NULL	NULL	100.00
94729	36	60	246870	NULL	NULL	NULL	0.00
94730	37	61	211583	NULL	NULL	NULL	100.00
94731	37	60	246871	NULL	NULL	NULL	0.00
94732	38	61	210778	NULL	NULL	NULL	100.00
94733	38	60	246872	NULL	NULL	NULL	0.00
94734	39	61	210763	NULL	NULL	NULL	100.00
94735	39	60	246873	NULL	NULL	NULL	0.00
94736	40	61	211271	NULL	NULL	NULL	100.00
94737	40	60	246874	NULL	NULL	NULL	0.00
94738	41	61	210754	NULL	NULL	NULL	100.00
94739	41	60	246875	NULL	NULL	NULL	0.00
94740	42	61	211489	NULL	NULL	NULL	100.00
94741	42	60	246876	NULL	NULL	NULL	0.00
94742	43	61	204377	NULL	NULL	NULL	100.00
94743	43	60	246877	NULL	NULL	NULL	0.00
94744	44	61	112841	NULL	NULL	NULL	100.00
94745	44	60	112841	NULL	NULL	NULL	0.00
94746	45	61	210752	NULL	NULL	NULL	100.00
94747	45	60	246878	NULL	NULL	NULL	0.00
94748	46	60	31958	NULL	NULL	NULL	0.00
94749	46	61	204379	NULL	NULL	NULL	100.00
94750	47	61	204380	NULL	NULL	NULL	100.00
94751	47	60	246879	NULL	NULL	NULL	0.00
