1	1	ARGENTINA	1
2	2	PARAGUAY	2
3	3	URUGUAY	3
4	4	CHILE	4
5	5	BOLIVIA	5
6	6	PERU	6
7	7	VENEZUELA	7
8	8	ITALIA	8
9	9	ESPAÑA	9
10	10	MEXICO	10
11	11	BRASIL	11
12	12	ECUADOR	12
9999	9999	DESCONOCIDA	13
