9	9	NULL	NULL	NULL				
13	13	NULL	NULL	NULL				
14	14	NULL	NULL	NULL				1
15	15	NULL	NULL	NULL				
16	16	NULL	NULL	NULL				
17	17	NULL	NULL	NULL				
18	18	NULL	NULL	NULL				
19	19	NULL	NULL	NULL				
20	20	NULL	NULL	NULL				
21	21	NULL	NULL	NULL				
22	22	NULL	NULL	NULL				
23	23	NULL	NULL	NULL				
24	24	NULL	NULL	NULL				
25	25	NULL	NULL	NULL				
26	26	NULL	NULL	NULL				
27	27	NULL	NULL	NULL				
28	28	NULL	NULL	NULL				
29	29	NULL	NULL	NULL				
30	30	NULL	NULL	NULL				
31	31	NULL	NULL	NULL				
32	32	NULL	NULL	NULL				
33	33	NULL	NULL	NULL				
34	34	NULL	NULL	NULL				
35	35	NULL	NULL	NULL				
36	36	NULL	NULL	NULL				
37	37	NULL	NULL	NULL				
39	39	NULL	NULL	NULL				
40	40	NULL	NULL	NULL				
41	41	NULL	NULL	NULL				
42	42	NULL	NULL	NULL				1
43	43	NULL	NULL	NULL				
46	46	NULL	NULL	NULL				49883
48	48	NULL	NULL	NULL				
49	49	NULL	NULL	NULL				
51	51	NULL	NULL	NULL				
52	52	NULL	NULL	NULL				
54	54	NULL	NULL	NULL				49063
55	55	NULL	NULL	NULL				
56	56	NULL	NULL	NULL				
57	57	NULL	NULL	NULL				
58	58	NULL	NULL	NULL				
59	59	NULL	NULL	NULL				
60	60	NULL	NULL	NULL				
61	61	NULL	NULL	NULL				
63	63	NULL	NULL	NULL				
64	64	NULL	NULL	NULL				
65	65	NULL	NULL	NULL				
66	66	NULL	NULL	NULL				
67	67	NULL	NULL	NULL				
68	68	NULL	NULL	NULL				
70	70	NULL	NULL	NULL				
71	71	NULL	NULL	NULL				
72	72	NULL	NULL	NULL				
73	73	NULL	NULL	NULL				30760
74	74	NULL	NULL	NULL				
75	75	NULL	NULL	NULL				
76	76	NULL	NULL	NULL				
78	78	NULL	NULL	NULL				
79	79	NULL	NULL	NULL				
80	80	NULL	NULL	NULL				
81	81	NULL	NULL	NULL				
82	82	NULL	NULL	NULL				
83	83	NULL	NULL	NULL				
84	84	NULL	NULL	NULL				
88	88	NULL	NULL	NULL				
89	89	NULL	NULL	NULL				
91	91	NULL	NULL	NULL				
101	101	NULL	NULL	NULL				
103	103	NULL	NULL	NULL				
105	105	NULL	NULL	NULL				30744
111	111	NULL	NULL	NULL				
113	113	NULL	NULL	NULL				
116	116	NULL	NULL	NULL				
118	118	NULL	NULL	NULL				
119	119	NULL	NULL	NULL				
121	121	NULL	NULL	NULL				
126	126	NULL	NULL	NULL				30923
131	131	NULL	NULL	NULL				
132	132	NULL	NULL	NULL				
133	133	NULL	NULL	NULL				50020
134	134	NULL	NULL	NULL				
136	136	NULL	NULL	NULL				
140	140	NULL	NULL	NULL				
143	143	NULL	NULL	NULL				
144	144	NULL	NULL	NULL				49099
145	145	NULL	NULL	NULL				
147	147	NULL	NULL	NULL				
149	149	NULL	NULL	NULL				
150	150	NULL	NULL	NULL				
151	151	NULL	NULL	NULL				
158	158	NULL	NULL	NULL				1
160	160	NULL	NULL	NULL				
162	162	NULL	NULL	NULL				
165	165	NULL	NULL	NULL				49872
166	166	NULL	NULL	NULL				
168	168	NULL	NULL	NULL				
169	169	NULL	NULL	NULL				
170	170	NULL	NULL	NULL				
171	171	NULL	NULL	NULL				
172	172	NULL	NULL	NULL				
173	173	NULL	NULL	NULL				
174	174	NULL	NULL	NULL				
175	175	NULL	NULL	NULL				
176	176	NULL	NULL	NULL				
178	178	NULL	NULL	NULL				115243
179	179	NULL	NULL	NULL				
180	180	NULL	NULL	NULL				
183	183	NULL	NULL	NULL				
184	184	NULL	NULL	NULL				
185	185	NULL	NULL	NULL				
190	190	NULL	NULL	NULL				
191	191	NULL	NULL	NULL				
192	192	NULL	NULL	NULL				49156
193	193	NULL	NULL	NULL				
194	194	NULL	NULL	NULL				
195	195	NULL	NULL	NULL				
196	196	NULL	NULL	NULL				
198	198	NULL	NULL	NULL				
199	199	NULL	NULL	NULL				29814
206	206	NULL	NULL	NULL				
207	207	NULL	NULL	NULL				
208	208	NULL	NULL	NULL				
209	209	NULL	NULL	NULL				
210	210	NULL	NULL	NULL				49055
211	211	NULL	NULL	NULL				
213	213	NULL	NULL	NULL				
214	214	NULL	NULL	NULL				
216	216	NULL	NULL	NULL				
218	218	NULL	NULL	NULL				
219	219	NULL	NULL	NULL				
221	221	NULL	NULL	NULL				
222	222	NULL	NULL	NULL				
223	223	NULL	NULL	NULL				
224	224	NULL	NULL	NULL				
226	226	NULL	NULL	NULL				
227	227	NULL	NULL	NULL				
228	228	NULL	NULL	NULL				
230	230	NULL	NULL	NULL				
232	232	NULL	NULL	NULL				
235	235	NULL	NULL	NULL				
237	237	NULL	NULL	NULL				
240	240	NULL	NULL	NULL				
241	241	NULL	NULL	NULL				
242	242	NULL	NULL	NULL				
243	243	NULL	NULL	NULL				
244	244	NULL	NULL	NULL				
245	245	NULL	NULL	NULL				
246	246	NULL	NULL	NULL				
