76	224	1	2019-10-08 14:55:00.000	2019-10-08 14:55:00.000	
77	228	1	2019-10-08 14:59:00.000	2019-10-08 14:59:00.000	
78	230	1	2019-10-08 15:03:00.000	2019-10-08 15:03:00.000	
79	235	1	2019-10-08 15:08:00.000	2019-10-08 15:08:00.000	
80	242	1	2019-10-08 15:16:00.000	2019-10-08 15:16:00.000	
81	243	1	2019-10-08 15:21:00.000	2019-10-08 15:21:00.000	
82	247	1	2019-10-09 08:19:00.000	2019-10-09 08:19:00.000	
83	249	1	2019-10-09 08:26:00.000	2019-10-09 08:26:00.000	
84	251	1	2019-10-09 08:34:00.000	2019-10-09 08:34:00.000	
85	255	1	2019-10-09 08:47:00.000	2019-10-09 08:47:00.000	
86	257	1	2019-10-09 08:50:00.000	2019-10-09 08:50:00.000	
87	264	1	2019-10-09 09:11:00.000	2019-10-09 09:11:00.000	
88	265	1	2019-10-09 09:11:00.000	2019-10-09 09:11:00.000	
89	268	1	2019-10-09 09:14:00.000	2019-10-09 09:14:00.000	
90	270	1	2019-10-09 09:20:00.000	2019-10-09 09:20:00.000	
91	275	1	2019-10-09 09:31:00.000	2019-10-09 09:31:00.000	
92	277	1	2019-10-09 09:35:00.000	2019-10-09 09:35:00.000	
93	278	1	2019-10-09 09:40:00.000	2019-10-09 09:40:00.000	
94	279	1	2019-10-09 09:47:00.000	2019-10-09 09:47:00.000	
95	281	1	2019-10-09 09:58:00.000	2019-10-09 09:58:00.000	
96	282	1	2019-10-09 10:05:00.000	2019-10-09 10:05:00.000	
97	282	103	2019-10-09 10:05:00.000	2020-02-11 11:18:00.000	
98	284	1	2019-10-09 10:08:00.000	2019-10-09 10:08:00.000	
99	288	1	2019-10-09 10:15:00.000	2019-10-09 10:15:00.000	
100	290	1	2019-10-09 10:19:00.000	2019-10-09 10:19:00.000	
101	298	1	2019-10-09 10:28:00.000	2019-10-09 10:28:00.000	
102	298	103	2019-10-09 10:28:00.000	2020-02-12 13:30:00.000	
103	304	1	2019-10-09 10:41:00.000	2019-10-09 10:41:00.000	
104	308	1	2019-10-09 10:51:00.000	2019-10-09 10:51:00.000	
105	309	1	2019-10-09 10:52:00.000	2019-10-09 10:52:00.000	
106	309	103	2019-10-09 10:52:00.000	2020-03-12 13:13:00.000	
107	310	1	2019-10-09 10:54:00.000	2019-10-09 10:54:00.000	
108	312	1	2019-10-09 10:55:00.000	2019-10-09 10:55:00.000	
109	327	1	2019-10-09 11:26:00.000	2019-10-09 11:26:00.000	
110	333	1	2019-10-09 12:02:00.000	2019-10-09 12:02:00.000	
111	335	1	2019-10-09 12:09:00.000	2019-10-09 12:09:00.000	
112	337	1	2019-10-09 12:13:00.000	2019-10-09 12:13:00.000	
113	341	1	2019-10-09 12:24:00.000	2019-10-09 12:24:00.000	
114	344	1	2019-10-09 12:32:00.000	2019-10-09 12:32:00.000	
115	350	1	2019-10-09 12:56:00.000	2019-10-09 12:56:00.000	
116	352	1	2019-10-09 12:59:00.000	2019-10-09 12:59:00.000	
117	352	103	2019-10-09 12:59:00.000	2019-12-05 12:33:00.000	
118	358	1	2019-10-09 13:11:00.000	2019-10-09 13:11:00.000	
119	359	1	2019-10-09 13:16:00.000	2019-10-09 13:16:00.000	
120	362	1	2019-10-09 13:24:00.000	2019-10-09 13:24:00.000	
121	370	1	2019-10-09 13:41:00.000	2019-10-09 13:41:00.000	
122	372	1	2019-10-09 13:44:00.000	2019-10-09 13:44:00.000	
123	373	1	2019-10-09 13:49:00.000	2019-10-09 13:49:00.000	
124	374	1	2019-10-09 13:50:00.000	2019-10-09 13:50:00.000	
125	377	1	2019-10-09 13:57:00.000	2019-10-09 13:57:00.000	
126	379	1	2019-10-09 14:00:00.000	2019-10-09 14:00:00.000	
127	380	1	2019-10-09 14:04:00.000	2019-10-09 14:04:00.000	
128	380	103	2019-10-09 14:04:00.000	2020-06-18 11:42:00.000	
129	382	1	2019-10-09 14:07:00.000	2019-10-09 14:07:00.000	
130	382	104	2019-10-09 14:07:00.000	2020-03-06 12:44:00.000	
131	384	1	2019-10-09 14:11:00.000	2019-10-09 14:11:00.000	
132	388	1	2019-10-09 14:19:00.000	2019-10-09 14:19:00.000	
133	395	1	2019-10-09 14:28:00.000	2019-10-09 14:28:00.000	
134	395	104	2019-10-09 14:28:00.000	2020-03-09 10:41:00.000	
135	400	1	2019-10-09 14:36:00.000	2019-10-09 14:36:00.000	
136	401	1	2019-10-09 14:36:00.000	2019-10-09 14:36:00.000	
137	403	1	2019-10-09 14:38:00.000	2019-10-09 14:38:00.000	
138	403	103	2019-10-09 14:38:00.000	2020-08-07 12:10:00.000	
139	410	1	2019-10-09 14:49:00.000	2019-10-09 14:49:00.000	
140	427	1	2019-10-11 10:43:00.000	2019-10-11 10:43:00.000	
141	428	1	2019-10-11 10:46:00.000	2019-10-11 10:46:00.000	
142	431	1	2019-10-11 11:02:00.000	2019-10-11 11:02:00.000	
143	432	1	2019-10-11 11:04:00.000	2019-10-11 11:04:00.000	
144	434	1	2019-10-11 11:08:00.000	2019-10-11 11:08:00.000	
145	436	1	2019-10-11 11:16:00.000	2019-10-11 11:16:00.000	
146	437	1	2019-10-11 11:22:00.000	2019-10-11 11:22:00.000	
147	438	1	2019-10-11 11:24:00.000	2019-10-11 11:24:00.000	
148	441	1	2019-10-11 11:27:00.000	2019-10-11 11:27:00.000	
149	441	103	2019-10-11 11:27:00.000	2020-06-16 12:04:00.000	
150	453	1	2019-10-11 12:49:00.000	2019-10-11 12:49:00.000	
151	455	1	2019-10-11 13:04:00.000	2019-10-11 13:04:00.000	
152	460	1	2019-10-15 08:45:00.000	2019-10-15 08:45:00.000	
153	462	1	2019-10-15 08:51:00.000	2019-10-15 08:51:00.000	
154	467	1	2019-10-15 09:09:00.000	2019-10-15 09:09:00.000	
155	468	1	2019-10-15 09:12:00.000	2019-10-15 09:12:00.000	
156	469	1	2019-10-15 09:55:00.000	2019-10-15 09:55:00.000	
157	470	1	2019-10-15 10:17:00.000	2019-10-15 10:17:00.000	
158	471	1	2019-10-15 10:24:00.000	2019-10-15 10:24:00.000	
159	472	1	2019-10-15 10:24:00.000	2019-10-15 10:24:00.000	
160	474	1	2019-10-15 10:29:00.000	2019-10-15 10:29:00.000	
161	475	1	2019-10-15 10:31:00.000	2019-10-15 10:31:00.000	
162	481	1	2019-10-15 10:42:00.000	2019-10-15 10:42:00.000	
163	483	1	2019-10-15 10:46:00.000	2019-10-15 10:46:00.000	
164	486	1	2019-10-15 11:04:00.000	2019-10-15 11:04:00.000	
165	488	1	2019-10-15 11:12:00.000	2019-10-15 11:12:00.000	
166	491	1	2019-10-15 11:23:00.000	2019-10-15 11:23:00.000	
167	492	1	2019-10-15 11:26:00.000	2019-10-15 11:26:00.000	
168	492	30	2019-10-15 11:26:00.000	2020-06-10 12:10:00.000	
169	493	1	2019-10-15 11:34:00.000	2019-10-15 11:34:00.000	
170	494	1	2019-10-15 11:37:00.000	2019-10-15 11:37:00.000	
171	495	1	2019-10-15 11:39:00.000	2019-10-15 11:39:00.000	
172	496	1	2019-10-15 11:43:00.000	2019-10-15 11:43:00.000	
173	497	1	2019-10-15 11:45:00.000	2019-10-15 11:45:00.000	
174	500	1	2019-10-15 11:49:00.000	2019-10-15 11:49:00.000	
175	502	1	2019-10-15 11:55:00.000	2019-10-15 11:55:00.000	
176	503	1	2019-10-15 11:55:00.000	2019-10-15 11:55:00.000	
177	504	1	2019-10-15 12:01:00.000	2019-10-15 12:01:00.000	
178	505	1	2019-10-15 12:07:00.000	2019-10-15 12:07:00.000	
179	506	1	2019-10-15 12:11:00.000	2019-10-15 12:11:00.000	
180	506	103	2019-10-15 12:11:00.000	2020-02-26 14:39:00.000	
181	510	1	2019-10-15 12:27:00.000	2019-10-15 12:27:00.000	
182	511	1	2019-10-15 12:47:00.000	2019-10-15 12:47:00.000	
183	512	1	2019-10-15 12:54:00.000	2019-10-15 12:54:00.000	
184	514	1	2019-10-15 13:17:00.000	2019-10-15 13:17:00.000	
185	517	1	2019-10-15 13:24:00.000	2019-10-15 13:24:00.000	
186	520	1	2019-10-15 13:29:00.000	2019-10-15 13:29:00.000	
187	521	1	2019-10-15 13:35:00.000	2019-10-15 13:35:00.000	
188	522	1	2019-10-15 13:37:00.000	2019-10-15 13:37:00.000	
189	523	1	2019-10-15 13:40:00.000	2019-10-15 13:40:00.000	
190	524	1	2019-10-15 13:47:00.000	2019-10-15 13:47:00.000	
191	527	1	2019-10-15 13:53:00.000	2019-10-15 13:53:00.000	
192	530	1	2019-10-15 14:00:00.000	2019-10-15 14:00:00.000	
193	532	1	2019-10-15 14:05:00.000	2019-10-15 14:05:00.000	
194	534	1	2019-10-15 14:10:00.000	2019-10-15 14:10:00.000	
195	537	1	2019-10-15 14:19:00.000	2019-10-15 14:19:00.000	
196	552	1	2019-10-16 09:35:00.000	2019-10-16 09:35:00.000	
197	553	1	2019-10-16 09:57:00.000	2019-10-16 09:57:00.000	
198	553	103	2019-10-16 09:57:00.000	2020-09-25 11:55:00.000	
199	554	1	2019-10-16 10:16:00.000	2019-10-16 10:16:00.000	
200	555	1	2019-10-16 10:28:00.000	2019-10-16 10:28:00.000	
201	563	1	2019-10-17 10:04:00.000	2019-10-17 10:04:00.000	
202	563	104	2019-10-17 10:04:00.000	2020-03-13 11:17:00.000	
203	596	1	2019-10-18 09:45:00.000	2019-10-18 09:45:00.000	
204	599	1	2019-10-18 10:35:00.000	2019-10-18 10:35:00.000	
205	600	1	2019-10-18 10:37:00.000	2019-10-18 10:37:00.000	
206	600	104	2019-10-18 10:37:00.000	2020-03-13 13:10:00.000	
207	602	1	2019-10-18 10:46:00.000	2019-10-18 10:46:00.000	
208	607	1	2019-10-18 11:25:00.000	2019-10-18 11:25:00.000	
209	611	1	2019-10-18 11:48:00.000	2019-10-18 11:48:00.000	
210	615	1	2019-10-18 12:02:00.000	2019-10-18 12:02:00.000	
211	615	104	2019-10-18 12:02:00.000	2019-12-27 14:08:00.000	
212	617	1	2019-10-18 12:15:00.000	2019-10-18 12:15:00.000	
213	618	1	2019-10-18 12:20:00.000	2019-10-18 12:20:00.000	
214	619	1	2019-10-18 12:44:00.000	2019-10-18 12:44:00.000	
215	623	1	2019-10-18 13:56:00.000	2019-10-18 13:56:00.000	
216	624	1	2019-10-21 09:55:00.000	2019-10-21 09:55:00.000	
217	625	1	2019-10-21 10:06:00.000	2019-10-21 10:06:00.000	
218	626	1	2019-10-21 10:23:00.000	2019-10-21 10:23:00.000	
219	628	1	2019-10-21 10:43:00.000	2019-10-21 10:43:00.000	
220	630	1	2019-10-21 11:21:00.000	2019-10-21 11:21:00.000	
221	631	1	2019-10-21 11:26:00.000	2019-10-21 11:26:00.000	
222	631	103	2019-10-21 11:26:00.000	2020-04-29 13:10:00.000	
