24	600024	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	11		4					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
25	600025	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	11		4					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
26	600026	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	7		NICHO					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
27	600027	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	11		8					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
28	600028	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	NULL							0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
29	600029	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	11		TIERRA					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
30	600030	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	7		NICHO					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
31	600031	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	7		NICHO					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
32	600032	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	7		GRUP.3				5	0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
33	600033	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	11		TIERRA					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
34	600034	21	2019-01-05 00:00:00.000	2019-01-05 00:00:00.000	NULL		8					0	2019-01-05 00:00:00.000	NULL	NULL	0	2019-01-05 00:00:00.000	NULL	NULL	0	0	0	0.00	0.00	0.00	3003	380	
